ID,Grants,Loans,Federal,Institutional,Net_Total,YearBegin,YearCat
2016000026,13490.5,5500.0,7333.0,10657.5,18934.5,2016,0
AC2802324,18065.5,7500.0,11183.0,14382.5,25487.5,2016,0
2016000037,11700.0,6500.0,6500.0,11700.0,18132.0,2016,0
2016000055,6000.0,5500.0,5500.0,6000.0,11444.0,2016,0
AR7969044,14745.5,6500.0,9383.0,11862.5,21177.5,2016,0
2016000049,22400.0,5500.0,8408.0,19492.0,27844.0,2016,0
BA7298794,18840.5,7500.0,8983.0,17357.5,26262.5,2016,0
2016000069,3000.0,5500.0,5500.0,3000.0,8444.0,2016,0
2016000076,1000.0,7500.0,7500.0,1000.0,8420.0,2016,0
2016000028,10400.0,7500.0,7500.0,10400.0,17480.0,2016,0
2016000027,17115.5,7500.0,11958.0,12657.5,24537.5,2016,0
CO1820398,7500.0,7500.0,7500.0,7500.0,14920.0,2016,0
2016000082,6033.0,8976.0,10259.0,4750.0,14837.0,2016,0
2017000004,1333.0,6500.0,6833.0,1000.0,7765.0,2016,0
2016000046,14276.5,5500.0,9183.0,10593.5,19720.5,2016,0
CR1596323,7000.0,7500.0,7500.0,7000.0,14422.0,2016,0
2016000035,13365.5,5500.0,6533.0,12332.5,18809.5,2016,0
2016000002,19900.0,0.0,2883.0,17017.0,19900.0,2016,0
2016000021,25846.0,4400.0,4400.0,25846.0,28222.0,2016,0
2017000001,4000.0,7500.0,7500.0,4000.0,11422.0,2016,0
2016000016,12700.0,14500.0,14500.0,12700.0,26760.0,2016,0
2016000078,7783.0,7500.0,11183.0,4100.0,15205.0,2016,0
2016000045,14300.0,5500.0,5500.0,14300.0,19744.0,2016,0
FO1538477,11658.0,0.0,2883.0,8775.0,11658.0,2016,0
2016000044,11683.0,0.0,2908.0,8775.0,11683.0,2016,0
2016000024,20665.5,5500.0,8408.0,17757.5,26109.5,2016,0
2016000009,6500.0,6500.0,6500.0,6500.0,12932.0,2016,0
2016000057,16921.0,12500.0,15408.0,14013.0,29291.0,2016,0
