,ID,Grants,Loans,Federal,Institutional,Net_Total,YearBegin
38,2016000026,"13,490.50","5,500.00","7,333.00","10,657.50","18,934.50",2016
39,AC2802324,"18,065.50","7,500.00","11,183.00","14,382.50","25,487.50",2016
40,2016000037,"11,700.00","6,500.00","6,500.00","11,700.00","18,132.00",2016
43,2016000055,"6,000.00","5,500.00","5,500.00","6,000.00","11,444.00",2016
45,AR7969044,"14,745.50","6,500.00","9,383.00","11,862.50","21,177.50",2016
46,2016000049,"22,400.00","5,500.00","8,408.00","19,492.00","27,844.00",2016
48,BA7298794,"18,840.50","7,500.00","8,983.00","17,357.50","26,262.50",2016
50,2016000069,"3,000.00","5,500.00","5,500.00","3,000.00","8,444.00",2016
53,2016000076,"1,000.00","7,500.00","7,500.00","1,000.00","8,420.00",2016
56,2016000028,"10,400.00","7,500.00","7,500.00","10,400.00","17,480.00",2016
61,2016000027,"17,115.50","7,500.00","11,958.00","12,657.50","24,537.50",2016
62,CO1820398,"7,500.00","7,500.00","7,500.00","7,500.00","14,920.00",2016
63,2016000082,"6,033.00","8,976.00","10,259.00","4,750.00","14,837.00",2016
64,2017000004,"1,333.00","6,500.00","6,833.00","1,000.00","7,765.00",2016
65,2016000046,"14,276.50","5,500.00","9,183.00","10,593.50","19,720.50",2016
66,CR1596323,"7,000.00","7,500.00","7,500.00","7,000.00","14,422.00",2016
69,2016000035,"13,365.50","5,500.00","6,533.00","12,332.50","18,809.50",2016
71,2016000002,"19,900.00",0.00,"2,883.00","17,017.00","19,900.00",2016
72,2016000021,"25,846.00","4,400.00","4,400.00","25,846.00","28,222.00",2016
74,2017000001,"4,000.00","7,500.00","7,500.00","4,000.00","11,422.00",2016
77,2016000016,"12,700.00","14,500.00","14,500.00","12,700.00","26,760.00",2016
78,2016000078,"7,783.00","7,500.00","11,183.00","4,100.00","15,205.00",2016
79,2016000045,"14,300.00","5,500.00","5,500.00","14,300.00","19,744.00",2016
80,FO1538477,"11,658.00",0.00,"2,883.00","8,775.00","11,658.00",2016
81,2016000044,"11,683.00",0.00,"2,908.00","8,775.00","11,683.00",2016
82,2016000024,"20,665.50","5,500.00","8,408.00","17,757.50","26,109.50",2016
83,2016000009,"6,500.00","6,500.00","6,500.00","6,500.00","12,932.00",2016
84,2016000057,"16,921.00","12,500.00","15,408.00","14,013.00","29,291.00",2016
85,2016000077,"4,783.00","7,500.00","9,283.00","3,000.00","12,207.00",2016
86,2016000003,"16,264.50","7,500.00","9,132.00","14,632.50","23,686.50",2016
87,2016000065,"6,590.50","5,500.00","9,183.00","2,907.50","12,034.50",2016
89,HA9161964,"10,000.00","5,500.00","5,500.00","10,000.00","15,444.00",2016
91,2016000047,"12,165.50","7,500.00","10,083.00","9,582.50","19,587.50",2016
92,HE8942512,"11,500.00","7,500.00","7,500.00","11,500.00","18,920.00",2016
93,2016000011,"14,440.50","12,500.00","15,283.00","11,657.50","26,808.50",2016
94,2016000018,"13,115.50","6,500.00","2,908.00","10,207.50","19,615.50",2016
95,2016000004,"8,162.00","12,500.00","14,662.00","6,000.00","20,530.00",2016
96,HO1378856,"9,600.00","6,500.00","8,183.00","7,917.00","16,032.00",2016
97,2016000023,"9,765.00","5,500.00","6,183.00","9,082.00","15,209.00",2016
98,2016000022,"13,807.50","6,500.00","10,025.00","10,282.50","20,239.50",2016
99,2016000020,"14,107.50",0.00,"3,525.00","10,582.50","14,107.50",2016
100,JO9257474,"17,000.00","6,500.00","6,500.00","12,000.00","23,434.00",2016
101,JU7739505,"18,815.50","6,500.00","9,408.00","15,907.50","25,247.50",2016
102,KA1668942,"15,148.00","7,500.00","7,500.00","15,148.00","22,570.00",2016
103,KE3577486,"18,365.50",0.00,"1,683.00","16,682.50","18,365.50",2016
104,2016000080,"6,357.50","14,467.00","16,725.00","4,099.50","20,450.50",2016
105,2016000006,"12,435.50","5,500.00","8,383.00","9,552.50","17,879.50",2016
106,2016000079,"7,007.00","6,500.00","9,407.00","4,100.00","13,439.00",2016
107,2016000012,"8,000.00","13,000.00","5,500.00","8,000.00","20,942.00",2016
108,LI8271562,"14,815.50","7,500.00","10,408.00","11,907.50","22,237.50",2016
109,2016000017,"5,850.00","29,500.00","7,500.00","5,850.00","35,270.00",2016
110,2016000062,"10,000.00","7,500.00","7,500.00","10,000.00","17,422.00",2016
111,2016000073,"1,000.00","9,500.00","9,500.00","1,000.00","10,402.00",2016
112,2016000010,"10,180.00","7,500.00","7,500.00","10,180.00","17,602.00",2016
113,2016000036,"18,490.50","9,500.00","11,433.00","16,557.50","27,892.50",2016
114,2016000075,"3,682.00","7,250.00","3,682.00","3,250.00","10,898.00",2016
116,ME6551934,"17,315.00",0.00,"2,908.00","14,407.00","17,315.00",2016
117,2016000005,"8,500.00","7,500.00","7,500.00","8,500.00","15,922.00",2016
118,2016000008,"5,850.00","5,500.00","5,500.00","5,850.00","11,294.00",2016
120,2016000050,"19,691.50","7,500.00","10,408.00","16,783.50","27,113.50",2016
121,NE6166014,"21,962.00","12,500.00","16,183.00","18,279.00","34,330.00",2016
123,2016000061,"7,000.00","7,500.00","7,500.00","7,000.00","14,422.00",2016
124,2016000013,"14,787.50","10,700.00","9,455.00","11,832.50","25,419.50",2016
126,2016000043,"15,090.50","5,500.00","6,883.00","13,707.50","20,534.50",2016
127,2016000007,"11,700.00","6,500.00","6,500.00","11,700.00","18,132.00",2016
128,RO7604674,"14,026.83","7,500.00","7,500.00","14,026.83","21,446.83",2016
129,RU1751715,"22,385.50","5,500.00","8,408.00","19,477.50","27,829.50",2016
