,ID,Grade,Term_GPA,Course,Name,Age,Attendance,Gender,Latino,Race,Professor,ZIP,LAT,LNG,id
0,18000007,2.3,2.23,ECO 110,Microeconomics,23,88.89%,2,No,5,Nemanja Selezan,92126,32.908449,-117.14138,76
1,18000007,1.0,2.23,INT 110,Critical Reasoning,23,50%,2,No,5,Garrett Miller,92126,32.908449,-117.14138,29
2,18000007,2.3,2.23,WRI 100,College Composition I,23,55.81%,2,No,5,Bethany Getz,92126,32.908449,-117.14138,10
4,18000007,3.3,2.23,MTH 100,College Algebra,23,60%,2,No,5,Kelly DeGrassie,92126,32.908449,-117.14138,57
5,18000007,4.0,2.25,Chapel,Chapel,23,100%,2,No,5,John Reimann,92126,32.908449,-117.14138,46
6,18000007,3.7,2.25,MGT 315,Organizational Behavior,23,59.18%,2,No,5,Jim Getman,92126,32.908449,-117.14138,41
7,18000007,3.3,2.25,THE 100,Orthodox Christianity,23,0%,2,No,5,Robert Fortuin,92126,32.908449,-117.14138,83
8,18000007,0.0,2.25,WRI 105,College Composition II,23,40%,2,No,5,Tricia Woodward,92126,32.908449,-117.14138,90
9,18000007,2.0,2.25,MGT 320,HR and Talent Management,23,63.27%,2,No,5,Jim Getman,92126,32.908449,-117.14138,41
10,18000007,0.0,0.0,CHE 100,Natural World: Chemistry,23,50%,2,No,5,Gor Sarkisyan,92126,32.908449,-117.14138,33
11,18000007,0.0,0.0,MGT 270,Management Information Systems,23,50%,2,No,5,Jim Getman,92126,32.908449,-117.14138,41
12,18000007,4.0,0.0,Chapel,Chapel,23,0%,2,No,5,John Reimann,92126,32.908449,-117.14138,46
13,18000007,1.7,0.0,INT 310,Modern European Thought &amp; Culture,23,0%,2,No,5,Evan Getz,92126,32.908449,-117.14138,25
14,18000007,4.0,0.0,THE 105,New Testament,23,0%,2,No,5,Robert Fortuin,92126,32.908449,-117.14138,83
15,18000007,4.0,0.0,COM 315,Communication Theory,23,66.67%,2,No,5,Jim Getman,92126,32.908449,-117.14138,41
16,18000048,4.0,1.9,Chapel,Chapel,18,100%,3,Yes,2,John Reimann,90220,33.88151,-118.234451,46
17,18000048,1.3,1.9,INT 100,Interdisciplinary Liberal Arts,18,62.22%,3,Yes,2,Evan Getz,90220,33.88151,-118.234451,25
18,18000048,3.3,1.9,KIN 200,Introduction to Kinesiology,18,78.13%,3,Yes,2,Nick Szyndlar,90220,33.88151,-118.234451,77
19,18000048,1.0,1.9,THE 100,Orthodox Christianity,18,0%,3,Yes,2,Robert Fortuin,90220,33.88151,-118.234451,83
